------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version,2.4
EnvLogger Viewer version,3.9
downloading device type, android
device, SM-G930F
downloading mode, manual
------------------------------,--------------------
serial number, 0445 8800 1115 09
custom name, A3
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution,0.1
samples,2844
time diff [logger-smartphone](sec),113
lat,48.83467
long,-125.135659
accuracy (m),24
------------------------------,--------------------
time,temp
2021-03-24 6:48,8.7
2021-03-24 7:18,8.6
2021-03-24 7:48,8.7
2021-03-24 8:18,8.7
2021-03-24 8:48,8.8
2021-03-24 9:18,8.8
2021-03-24 9:48,8.6
2021-03-24 10:18,8.6
2021-03-24 10:48,8.6
2021-03-24 11:18,8.5
2021-03-24 11:48,8.5
2021-03-24 12:18,8.5
2021-03-24 12:48,8.5
2021-03-24 13:18,8.6
2021-03-24 13:48,8.5
2021-03-24 14:18,8.6
2021-03-24 14:48,8.6
2021-03-24 15:18,8.5
2021-03-24 15:48,8.5
2021-03-24 16:18,8.6
2021-03-24 16:48,8.7
2021-03-24 17:18,8.6
2021-03-24 17:48,8.6
2021-03-24 18:18,8.7
2021-03-24 18:48,8.7
2021-03-24 19:18,8.6
2021-03-24 19:48,8.6
2021-03-24 20:18,8.7
2021-03-24 20:48,10.2
2021-03-24 21:18,12.4
2021-03-24 21:48,8.8
2021-03-24 22:18,8.8
2021-03-24 22:48,8.7
2021-03-24 23:18,8.8
2021-03-24 23:48,8.8
2021-03-25 0:18,8.6
2021-03-25 0:48,8.6
2021-03-25 1:18,8.6
2021-03-25 1:48,8.6
2021-03-25 2:18,8.7
2021-03-25 2:48,8.7
2021-03-25 3:18,8.7
2021-03-25 3:48,8.7
2021-03-25 4:18,8.7
2021-03-25 4:48,8.7
2021-03-25 5:18,8.8
2021-03-25 5:48,8.6
2021-03-25 6:18,8.7
2021-03-25 6:48,8.7
2021-03-25 7:18,8.7
2021-03-25 7:48,8.7
2021-03-25 8:18,8.7
